Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,29.129999,29.639999,29.030001,29.290001,29.290001,1682500
2019-05-21,29.410000,29.980000,28.799999,29.690001,29.690001,1461300
2019-05-22,29.750000,30.469999,29.540001,29.540001,29.540001,2289700
2019-05-23,29.490000,29.959999,28.969999,29.590000,29.590000,3045100
2019-05-24,29.950001,31.000000,29.820000,30.209999,30.209999,2566600
2019-05-27,30.969999,31.250000,30.700001,31.070000,31.070000,984800
2019-05-28,30.910000,31.490000,30.799999,31.020000,31.020000,1614800
2019-05-29,30.760000,31.110001,30.370001,30.900000,30.900000,1227100
2019-05-30,30.900000,31.170000,30.559999,30.889999,30.889999,1307000
2019-05-31,30.830000,31.530001,30.450001,30.700001,30.700001,1249800
2019-06-03,30.940001,30.940001,30.299999,30.590000,30.590000,1343400
2019-06-04,30.750000,31.030001,30.299999,30.709999,30.709999,1434900
2019-06-05,30.770000,30.900000,30.010000,30.280001,30.280001,782800
2019-06-06,30.620001,30.760000,30.150000,30.639999,30.639999,1080500
2019-06-07,30.709999,30.850000,30.400000,30.670000,30.670000,954600
2019-06-10,30.709999,30.959999,30.440001,30.629999,30.629999,679300
2019-06-11,31.170000,32.340000,31.160000,32.340000,32.340000,1897700
2019-06-12,32.340000,32.549999,31.809999,32.139999,32.139999,1307800
2019-06-13,32.230000,32.880001,32.230000,32.610001,32.610001,1957200
2019-06-14,32.400002,32.660000,32.169998,32.270000,32.270000,1110600
2019-06-17,32.180000,32.220001,31.639999,31.639999,31.639999,1418200
2019-06-18,32.029999,33.000000,32.029999,32.990002,32.990002,2165300
2019-06-19,33.410000,33.660000,32.779999,33.119999,33.119999,1813800
