Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,10.929800,11.130400,10.822700,11.036800,10.705295,2565868
2015-05-05,10.956500,11.438100,10.876300,11.431400,11.088043,4278840
2015-05-06,11.317700,11.398000,10.796000,10.983300,10.653401,8270489
2015-05-07,10.715700,10.929800,10.689000,10.782600,10.458730,2182550
2015-05-08,10.903000,11.244200,10.889600,11.030100,10.698795,4373324
2015-05-11,11.190600,11.190600,10.548500,10.689000,10.367941,5335954
2015-05-12,10.662200,10.715700,10.495000,10.595300,10.277056,3703862
2015-05-13,10.501700,10.635500,10.428100,10.615400,10.296553,3540309
2015-05-14,10.622100,10.956500,10.602000,10.896300,10.569015,3585458
2015-05-15,10.849500,11.264200,10.849500,11.016700,10.685799,3586056
2015-05-18,11.043500,11.117100,10.682300,10.796000,10.471726,5064612
2015-05-19,10.822700,10.956500,10.715700,10.889600,10.562515,1785030
2015-05-20,10.782600,11.030100,10.782600,10.836100,10.510623,2366136
2015-05-21,10.809400,11.050200,10.769200,11.050200,10.718293,2349841
2015-05-22,11.157200,11.157200,10.635500,10.702300,10.380841,2908971
2015-05-25,10.642100,10.789300,10.521700,10.602000,10.283556,2295572
2015-05-26,10.608700,10.655500,10.294300,10.327800,10.017590,4172246
2015-05-27,10.394700,10.555200,10.194000,10.521700,10.205665,2370322
2015-05-28,10.367900,10.474900,10.180600,10.421400,10.108379,5832593
2015-05-29,10.448200,10.474900,10.133800,10.220700,9.913708,5975366
2015-06-01,10.147200,10.207400,10.033400,10.033400,9.732033,5134727
2015-06-02,10.153800,10.495000,10.087000,10.434800,10.121377,7830511
2015-06-03,10.428100,10.461500,10.100300,10.100300,9.796924,5092867
2015-06-05,9.946490,10.053500,9.899670,9.933110,9.634755,5831846
2015-06-08,9.979930,10.020100,9.899670,9.959870,9.660712,6705673
2015-06-09,10.013400,10.013400,9.826090,9.886290,9.589342,2525204
2015-06-10,9.966560,10.167200,9.879600,10.066900,9.764525,7332676
2015-06-11,10.127100,10.147200,9.913040,9.993310,9.693148,5715534
2015-06-12,9.839460,9.919730,9.699000,9.765890,9.472558,5284526
2015-06-15,9.685620,9.685620,9.565220,9.632110,9.342796,5142352
2015-06-16,9.692310,9.799330,9.585280,9.625420,9.336308,10185286
2015-06-17,9.625420,9.699000,9.505020,9.625420,9.336308,3906584
2015-06-18,9.699000,9.946490,9.571910,9.939800,9.641246,12397138
2015-06-19,9.812710,9.986620,9.752510,9.872910,9.576363,6933660
2015-06-22,9.933110,9.973240,9.732440,9.832780,9.537439,4156548
