Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,6.900000,7.100000,6.890000,6.950000,6.865800,11064400
2019-05-21,7.000000,7.150000,6.910000,7.090000,7.004105,11857000
2019-05-22,7.140000,7.300000,7.080000,7.300000,7.211561,11121100
2019-05-23,7.250000,7.640000,7.230000,7.500000,7.409138,10838900
2019-05-24,7.600000,7.630000,7.450000,7.580000,7.488168,6279500
2019-05-27,7.250000,7.400000,7.080000,7.250000,7.162166,15343400
2019-05-28,7.190000,7.330000,7.060000,7.060000,6.974468,19979200
2019-05-29,7.050000,7.080000,6.760000,6.760000,6.678103,21232100
2019-05-30,6.770000,7.000000,6.710000,6.760000,6.678103,15850900
2019-05-31,6.770000,6.800000,6.630000,6.700000,6.618829,10940300
2019-06-03,6.710000,6.790000,6.580000,6.730000,6.648466,10481200
2019-06-04,6.820000,6.900000,6.600000,6.600000,6.520041,11946500
2019-06-05,6.660000,6.740000,6.530000,6.660000,6.579314,9981700
2019-06-06,6.730000,6.940000,6.660000,6.900000,6.816407,10625300
2019-06-07,6.960000,6.990000,6.650000,6.700000,6.618829,14187200
2019-06-10,6.730000,6.750000,6.470000,6.570000,6.490405,20415100
2019-06-11,6.600000,6.630000,6.490000,6.600000,6.520041,15735400
2019-06-12,6.570000,6.570000,6.250000,6.400000,6.400000,35493900
2019-06-13,6.360000,6.790000,6.320000,6.660000,6.660000,22370200
2019-06-14,6.660000,6.750000,6.460000,6.600000,6.600000,11612600
2019-06-17,6.590000,6.800000,6.490000,6.620000,6.620000,20743400
2019-06-18,6.670000,6.760000,6.650000,6.750000,6.750000,10505700
2019-06-19,6.800000,6.890000,6.700000,6.850000,6.850000,12786000
