Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,29.459999,29.650000,28.809999,29.010000,24.144014,2508700
2015-05-05,28.959999,29.270000,27.709999,27.850000,23.178585,2049300
2015-05-06,27.900000,28.450001,27.290001,28.450001,23.677946,2545800
2015-05-07,28.059999,28.150000,27.129999,27.530001,22.912262,2966300
2015-05-08,27.719999,27.850000,27.230000,27.740000,23.087034,1124000
2015-05-11,27.730000,27.959999,26.670000,26.780001,22.288063,2895400
2015-05-12,26.510000,27.379999,26.500000,27.100000,22.554388,2033100
2015-05-13,27.100000,27.629999,27.100000,27.450001,22.845678,1243300
2015-05-14,27.700001,27.969999,27.430000,27.760000,23.103680,1406000
2015-05-15,27.570000,27.969999,27.450001,27.709999,23.062069,783400
2015-05-18,27.790001,27.940001,27.350000,27.650000,23.012133,829900
2015-05-19,27.660000,27.700001,27.129999,27.350000,22.762453,878400
2015-05-20,27.280001,27.900000,27.250000,27.850000,23.178585,1155900
2015-05-21,27.680000,28.250000,27.660000,28.040001,23.336718,954500
2015-05-22,28.100000,28.400000,27.620001,27.850000,23.178585,1350200
2015-05-25,27.709999,27.820000,27.350000,27.600000,22.970520,326000
2015-05-26,27.520000,27.670000,26.610001,26.770000,22.279741,898600
2015-05-27,26.790001,26.910000,26.010000,26.840000,22.337997,926300
2015-05-28,26.820000,26.820000,25.799999,25.940001,21.588959,1090600
2015-05-29,25.940001,25.959999,24.750000,25.160000,20.939791,1859700
2015-06-01,25.100000,25.309999,24.780001,25.120001,20.906502,481800
2015-06-02,25.290001,26.260000,25.290001,25.860001,21.522379,2768900
2015-06-03,26.070000,26.270000,25.650000,26.120001,21.738770,1946600
2015-06-05,25.980000,26.150000,25.540001,25.750000,21.430828,872700
2015-06-08,25.690001,26.100000,25.629999,25.820000,21.489086,1254500
2015-06-09,25.820000,26.580000,25.600000,26.260000,21.855286,1757000
2015-06-10,26.590000,26.770000,26.049999,26.700001,22.221479,1106500
2015-06-11,26.809999,26.969999,26.120001,26.700001,22.221479,805400
2015-06-12,26.430000,26.660000,26.030001,26.400000,21.971800,1587500
2015-06-15,26.350000,26.350000,25.510000,25.790001,21.464119,901600
2015-06-16,25.790001,25.969999,25.150000,25.150000,20.931467,1034000
2015-06-17,25.150000,25.620001,25.150000,25.200001,20.973085,1008400
2015-06-18,25.299999,26.290001,25.070000,26.000000,21.638897,851500
2015-06-19,25.879999,25.879999,25.290001,25.379999,21.122889,719900
2015-06-22,25.459999,26.150000,25.459999,25.820000,21.489086,619900
2015-06-23,26.110001,26.299999,25.920000,26.299999,21.888575,774800
2015-06-24,26.450001,26.650000,25.709999,26.170000,21.780378,1160000
2015-06-25,25.980000,26.200001,25.620001,25.820000,21.489086,1157600
2015-06-26,25.820000,26.400000,25.820000,26.000000,21.638897,761600
2015-06-29,25.700001,25.969999,25.150000,25.230000,20.998049,589900
2015-06-30,25.370001,25.530001,24.900000,25.150000,20.931467,2179400
2015-07-01,25.219999,25.270000,24.559999,24.830000,20.665144,1754600
2015-07-02,24.959999,25.010000,24.040001,24.100000,20.057590,1235100
2015-07-03,23.920000,24.340000,23.709999,23.790001,19.799591,815600
2015-07-06,23.620001,23.620001,22.910000,23.000000,19.142099,1591000
2015-07-07,22.900000,23.000000,22.040001,22.809999,18.983971,2609200
2015-07-08,22.680000,22.959999,22.160000,22.680000,18.875774,1094100
2015-07-10,23.000000,23.680000,22.650000,23.420000,19.491650,1580700
2015-07-13,23.639999,23.639999,23.260000,23.580000,19.624811,838000
2015-07-14,23.450001,24.020000,23.280001,23.850000,19.849525,576900
2015-07-15,23.799999,23.850000,22.790001,23.120001,19.241970,1150500
2015-07-16,23.240000,23.309999,22.389999,22.750000,18.934032,892000
2015-07-17,22.549999,22.780001,22.080000,22.250000,18.517902,941500
2015-07-20,22.219999,22.350000,21.500000,21.799999,18.143381,1465700
2015-07-21,21.820000,22.340000,21.160000,21.260000,17.693958,1693200
2015-07-22,20.910000,21.370001,20.799999,21.209999,17.652342,1192400
2015-07-23,21.180000,21.480000,20.510000,20.709999,17.236212,1814200
2015-07-24,20.530001,20.790001,20.010000,20.650000,17.186275,790800
2015-07-27,20.459999,21.459999,20.150000,20.900000,17.394342,1210900
2015-07-28,21.309999,21.440001,20.330000,20.650000,17.186275,1352300
2015-07-29,20.530001,20.900000,20.240000,20.490000,17.053112,2758500
2015-07-30,20.309999,20.730000,20.240000,20.510000,17.069761,738500
2015-07-31,20.440001,21.090000,20.420000,20.799999,17.311115,734500
2015-08-03,20.600000,20.600000,20.080000,20.389999,16.969889,1291800
2015-08-04,20.469999,20.740000,19.500000,20.250000,16.853371,961900
2015-08-05,20.389999,20.590000,19.910000,20.010000,16.653625,543500
2015-08-06,19.950001,20.690001,19.530001,20.450001,17.019823,1476700
2015-08-07,20.160000,20.270000,19.920000,20.000000,16.645304,1093100
2015-08-10,20.000000,20.600000,19.809999,20.389999,16.969889,794300
2015-08-11,20.260000,20.650000,20.080000,20.650000,17.186275,940700
2015-08-12,20.629999,20.629999,19.959999,20.500000,17.061436,1639300
2015-08-13,20.350000,21.150000,19.750000,20.200001,16.811758,1835900
2015-08-14,20.299999,20.299999,19.750000,20.200001,16.811758,1718500
2015-08-17,20.000000,20.110001,19.500000,19.500000,16.229170,1139300
2015-08-18,19.389999,19.559999,18.910000,19.100000,15.896267,1383800
2015-08-19,18.990000,19.040001,18.580000,18.840000,15.679874,797300
2015-08-20,18.559999,18.600000,17.889999,17.980000,14.964128,1977300
2015-08-21,17.690001,18.240000,17.570000,18.209999,15.155549,1274000
2015-08-24,17.549999,18.299999,17.049999,17.850000,14.855935,1800700
2015-08-25,18.250000,18.410000,17.900000,18.180000,15.130584,1196100
2015-08-26,18.250000,18.770000,17.750000,18.770000,15.621617,1307400
2015-08-27,18.969999,19.799999,18.750000,19.309999,16.071041,2279500
2015-08-28,18.910000,19.420000,18.680000,19.100000,15.896267,1264000
2015-08-31,18.959999,18.959999,17.950001,18.150000,15.105616,2317200
2015-09-01,17.709999,18.190001,17.549999,17.650000,14.689481,1709500
2015-09-02,17.770000,18.120001,17.299999,17.700001,14.731095,1838600
2015-09-03,18.000000,18.600000,17.840000,18.600000,15.480131,2012700
2015-09-04,18.700001,19.400000,18.639999,19.330000,16.087688,3876400
2015-09-08,19.719999,19.990000,19.209999,19.790001,16.470530,2143000
2015-09-09,19.980000,20.290001,18.780001,18.850000,15.688199,2499900
2015-09-10,18.129999,19.160000,18.129999,18.930000,15.754781,1423400
2015-09-11,18.799999,19.260000,18.620001,19.260000,16.029428,1076600
2015-09-14,19.270000,19.840000,18.790001,19.770000,16.775801,1864600
2015-09-15,19.270000,19.450001,19.030001,19.299999,16.376982,1985000
2015-09-16,19.350000,20.280001,19.350000,20.010000,16.979454,1484000
2015-09-17,19.950001,20.629999,19.950001,20.080000,17.038853,1261200
2015-09-18,20.059999,20.059999,19.100000,19.530001,16.572151,1642100
2015-09-21,19.500000,19.830000,19.110001,19.290001,16.368498,483200
2015-09-22,18.719999,19.549999,18.540001,19.459999,16.512753,813800
2015-09-23,19.420000,19.520000,18.620001,18.690001,15.859368,1229000
2015-09-24,18.350000,19.350000,18.059999,18.799999,15.952709,801100
2015-09-25,19.059999,19.459999,18.639999,19.110001,16.215759,1019800
2015-09-28,18.809999,19.139999,18.299999,18.930000,16.063021,1160600
2015-09-29,18.930000,19.639999,18.820000,19.000000,16.122419,1382800
2015-09-30,20.100000,20.889999,19.830000,20.129999,17.081276,4726200
2015-10-01,20.480000,20.620001,19.510000,20.450001,17.352816,1678100
2015-10-02,20.549999,21.400000,20.209999,21.330000,18.099537,1791100
2015-10-05,22.139999,22.139999,20.850000,21.219999,18.006195,1951600
2015-10-06,21.219999,22.389999,21.219999,22.250000,18.880203,1662300
2015-10-07,22.459999,23.490000,22.400000,23.160000,19.652380,2276800
2015-10-08,23.170000,23.440001,22.400000,22.549999,19.134766,1364600
2015-10-09,22.700001,23.430000,22.610001,23.400000,19.856033,1109900
2015-10-13,23.049999,23.080000,22.250000,22.450001,19.049911,2075900
2015-10-14,22.250000,22.809999,22.250000,22.549999,19.134766,1464200
2015-10-15,22.570000,22.799999,21.820000,22.200001,18.837774,1044800
2015-10-16,22.290001,23.010000,21.940001,22.559999,19.143250,1575100
2015-10-19,22.600000,23.049999,22.120001,22.799999,19.346903,667900
2015-10-20,22.790001,23.600000,22.700001,23.360001,19.822090,1366300
2015-10-21,23.150000,23.889999,22.910000,23.040001,19.550554,998200
2015-10-22,23.160000,24.320000,23.150000,23.920000,20.297277,1091300
2015-10-23,24.299999,24.500000,23.610001,23.680000,20.093624,754000
2015-10-26,23.879999,24.100000,23.400000,23.540001,19.974829,894600
2015-10-27,23.690001,23.910000,23.440001,23.709999,20.119081,1110100
2015-10-28,23.690001,24.150000,23.549999,23.850000,20.237879,243100
2015-10-29,23.580000,24.299999,23.320000,23.450001,19.898460,909000
2015-10-30,23.440001,24.709999,23.340000,24.709999,20.967630,2101300
2015-11-03,24.510000,26.459999,24.510000,25.420000,21.570099,2215500
2015-11-04,25.510000,26.180000,25.000000,25.250000,21.425846,1222400
2015-11-05,25.260000,25.950001,25.010000,25.860001,21.943460,1030600
2015-11-06,25.770000,25.780001,24.740000,25.350000,21.510702,975500
2015-11-09,25.299999,25.670000,24.889999,25.000000,21.213709,563700
2015-11-10,24.770000,25.379999,24.610001,25.379999,21.536158,868400
2015-11-11,25.700001,25.790001,25.270000,25.750000,21.850119,1063200
2015-11-12,25.700001,26.940001,25.620001,26.500000,22.486534,1334800
2015-11-13,26.170000,26.740000,25.450001,25.799999,21.892546,1452400
2015-11-16,25.940001,26.080000,25.450001,25.600000,21.722837,941100
2015-11-17,25.660000,26.180000,25.600000,25.600000,21.722837,1482100
2015-11-18,25.510000,25.740000,25.389999,25.620001,21.739811,1136300
2015-11-19,25.600000,26.010000,25.320000,26.000000,22.062258,1385100
2015-11-23,26.150000,26.780001,26.030001,26.070000,22.121655,848600
2015-11-24,25.930000,26.660000,25.889999,26.200001,22.231968,1485300
2015-11-25,25.900000,25.900000,24.930000,25.100000,21.298565,2293700
2015-11-26,25.150000,25.770000,25.100000,25.410000,21.561617,759800
2015-11-27,25.209999,25.790001,24.670000,25.160000,21.349478,943900
2015-11-30,25.000000,25.150000,24.100000,24.100000,20.450014,2741100
2015-12-01,23.850000,24.870001,23.559999,24.750000,21.001574,997800
2015-12-02,24.690001,25.030001,24.309999,24.790001,21.035517,680300
2015-12-03,25.180000,25.670000,24.889999,25.420000,21.570099,915200
2015-12-04,25.209999,25.469999,24.799999,24.900000,21.128853,886100
2015-12-07,25.270000,25.750000,24.900000,25.100000,21.298565,1446500
