Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,6.430000,6.490000,6.340000,6.490000,6.490000,7500000
2019-05-21,6.530000,6.730000,6.450000,6.730000,6.730000,13194600
2019-05-22,6.780000,6.810000,6.670000,6.710000,6.710000,5735900
2019-05-23,6.630000,6.680000,6.520000,6.520000,6.520000,9045800
2019-05-24,6.600000,6.680000,6.490000,6.520000,6.520000,4848000
2019-05-27,6.590000,6.590000,6.480000,6.500000,6.500000,4314900
2019-05-28,6.510000,6.620000,6.450000,6.590000,6.590000,7453300
2019-05-29,6.550000,6.620000,6.510000,6.590000,6.590000,6290800
2019-05-30,6.580000,6.680000,6.530000,6.550000,6.550000,7359500
2019-05-31,6.520000,6.580000,6.470000,6.480000,6.480000,7938900
2019-06-03,6.530000,6.540000,6.450000,6.480000,6.480000,5389100
2019-06-04,6.520000,6.570000,6.440000,6.450000,6.450000,7277100
2019-06-05,6.480000,6.500000,6.350000,6.350000,6.350000,6513200
2019-06-06,6.400000,6.410000,6.290000,6.350000,6.350000,11326100
2019-06-07,6.390000,6.530000,6.330000,6.530000,6.530000,7740700
2019-06-10,6.500000,6.690000,6.480000,6.690000,6.690000,5480200
2019-06-11,6.750000,6.970000,6.750000,6.910000,6.910000,10596600
2019-06-12,6.950000,6.960000,6.800000,6.800000,6.800000,5878200
2019-06-13,6.880000,6.990000,6.840000,6.920000,6.920000,11146200
2019-06-14,6.900000,6.920000,6.710000,6.760000,6.760000,5578400
2019-06-17,6.750000,6.790000,6.670000,6.690000,6.690000,4835500
2019-06-18,6.740000,6.990000,6.720000,6.990000,6.990000,10284500
2019-06-19,7.010000,7.140000,6.960000,7.110000,7.110000,10372000
