Date,Open,High,Low,Close,Adj Close,Volume
2015-05-04,15.640000,15.910000,15.500000,15.620000,14.790330,4523200
2015-05-05,15.510000,15.810000,15.440000,15.810000,14.970237,3632700
2015-05-06,15.690000,15.800000,15.460000,15.620000,14.790330,5361300
2015-05-07,15.400000,15.860000,15.400000,15.630000,14.799799,5360200
2015-05-08,15.880000,16.570000,15.750000,16.490000,15.614120,3899900
2015-05-11,16.490000,16.670000,16.070000,16.450001,15.576244,5654100
2015-05-12,16.450001,16.840000,16.389999,16.520000,15.642527,4440400
2015-05-13,16.570000,16.740000,16.469999,16.600000,15.718276,3529000
2015-05-14,17.010000,17.230000,16.469999,16.650000,15.765619,8469200
2015-05-15,16.670000,16.770000,16.360001,16.420000,15.547837,6658500
2015-05-18,16.570000,16.629999,16.030001,16.209999,15.348989,5047100
2015-05-19,16.209999,16.969999,16.209999,16.860001,15.964466,8999100
2015-05-20,17.059999,17.230000,16.700001,16.709999,15.822433,6670000
2015-05-21,16.889999,16.889999,16.450001,16.700001,15.812964,4574200
2015-05-22,16.850000,16.860001,16.219999,16.450001,15.576244,4179600
2015-05-25,16.480000,16.760000,16.330000,16.760000,15.869778,2584100
2015-05-26,16.680000,16.680000,16.090000,16.190001,15.330053,4124900
2015-05-27,15.600000,16.700001,15.500000,16.549999,15.670931,9303800
2015-05-28,16.389999,16.639999,16.330000,16.610001,15.727744,7499300
2015-05-29,16.440001,16.540001,15.260000,15.650000,14.818735,11304600
2015-06-01,15.550000,16.430000,15.550000,16.370001,15.500493,5139900
2015-06-02,16.469999,16.490000,16.000000,16.160000,15.301648,6493600
2015-06-03,16.070000,16.209999,15.650000,15.670000,14.837674,14006300
2015-06-05,15.390000,16.000000,15.300000,15.910000,15.064925,7556400
2015-06-08,15.900000,16.110001,15.760000,15.850000,15.008113,9718900
2015-06-09,15.810000,15.940000,15.770000,15.920000,15.074394,6917400
2015-06-10,16.100000,16.219999,16.000000,16.190001,15.330053,13256800
2015-06-11,16.280001,16.340000,15.940000,15.940000,15.093332,9184400
2015-06-12,15.910000,15.960000,15.700000,15.900000,15.055457,3510500
2015-06-15,15.850000,15.990000,15.700000,15.850000,15.008113,4868800
2015-06-16,15.940000,16.700001,15.890000,16.600000,15.718276,10563500
2015-06-17,16.600000,16.700001,16.160000,16.500000,15.623589,5653200
2015-06-18,16.570000,16.940001,16.250000,16.780001,15.888716,4739400
2015-06-19,16.750000,16.770000,16.440001,16.440001,15.566775,3720500
2015-06-22,16.360001,16.790001,16.360001,16.600000,15.718276,4550100
2015-06-23,16.799999,16.820000,15.920000,15.990000,15.140676,7240000
2015-06-24,16.049999,16.120001,15.800000,16.030001,15.178554,6511300
2015-06-25,16.000000,16.080000,15.340000,15.340000,14.525202,10895300
2015-06-26,15.450000,16.110001,15.450000,16.049999,15.197490,10795200
2015-06-29,16.020000,16.020000,15.700000,15.960000,15.112269,6333100
2015-06-30,16.280001,16.370001,16.030001,16.360001,15.491025,7230900
2015-07-01,16.400000,16.400000,15.840000,15.990000,15.140676,4914700
2015-07-02,16.059999,16.250000,15.910000,16.250000,15.386867,6219800
2015-07-03,16.059999,16.059999,15.720000,16.000000,15.150146,2257600
2015-07-06,15.800000,16.240000,15.720000,16.049999,15.197490,8511000
2015-07-07,15.930000,16.150000,15.860000,16.049999,15.197490,11767400
2015-07-08,15.810000,16.040001,15.810000,15.850000,15.008113,5764400
2015-07-10,16.100000,16.100000,15.870000,15.900000,15.055457,6586100
2015-07-13,15.980000,16.100000,15.900000,15.900000,15.055457,9089300
2015-07-14,15.980000,16.000000,15.670000,15.760000,14.922894,6312800
2015-07-15,15.790000,15.790000,15.390000,15.510000,14.686172,7897600
2015-07-16,15.550000,16.000000,15.490000,15.850000,15.008113,8490400
2015-07-17,15.870000,16.120001,15.610000,15.810000,14.970237,4653100
2015-07-20,15.600000,15.690000,15.050000,15.090000,14.288482,4583700
2015-07-21,15.140000,15.180000,14.840000,14.910000,14.118041,3914900
2015-07-22,14.800000,15.140000,14.660000,15.050000,14.250606,5233700
2015-07-23,14.970000,15.680000,14.970000,15.250000,14.439983,8471800
2015-07-24,15.380000,15.400000,14.630000,14.790000,14.004416,6082500
2015-07-27,14.700000,14.720000,14.100000,14.360000,13.597255,9315300
2015-07-28,14.420000,14.690000,14.140000,14.550000,13.777164,6394600
2015-07-29,14.570000,14.730000,14.060000,14.350000,13.587787,6331800
2015-07-30,14.350000,15.160000,14.180000,15.030000,14.231668,4870400
2015-07-31,15.050000,15.750000,14.840000,15.410000,14.591484,7209600
2015-08-03,15.270000,15.520000,14.770000,14.900000,14.108573,3636400
2015-08-04,14.920000,15.150000,14.740000,14.990000,14.193793,5474600
2015-08-05,15.190000,15.440000,14.780000,15.310000,14.496797,3723700
2015-08-06,15.210000,15.710000,15.010000,15.210000,14.402107,6765500
2015-08-07,15.210000,15.280000,14.580000,14.760000,13.976010,3572900
2015-08-10,14.750000,15.090000,14.560000,14.810000,14.023354,2786900
2015-08-11,14.850000,15.140000,14.480000,15.140000,14.335826,3808200
2015-08-12,14.760000,15.540000,14.660000,15.200000,14.392637,7769100
2015-08-13,15.200000,15.900000,14.970000,15.730000,14.894485,4566600
2015-08-14,15.440000,15.640000,14.900000,15.030000,14.231668,7705000
2015-08-17,15.130000,15.130000,14.060000,14.240000,13.483629,6857200
2015-08-18,14.180000,14.990000,13.860000,14.860000,14.070698,6100300
2015-08-19,14.660000,14.800000,14.200000,14.500000,13.729819,4517100
2015-08-20,14.310000,14.800000,14.100000,14.740000,13.957071,4715500
2015-08-21,14.550000,14.710000,14.090000,14.090000,13.341598,3567000
2015-08-24,13.940000,14.450000,13.320000,14.150000,13.398410,8825000
2015-08-25,14.500000,14.650000,13.500000,13.600000,12.877625,5473300
2015-08-26,13.800000,14.210000,13.190000,14.090000,13.341598,8566700
2015-08-27,14.390000,14.600000,14.230000,14.400000,13.635130,6402700
2015-08-28,14.120000,14.380000,13.930000,14.230000,13.474161,7916600
2015-08-31,13.830000,14.290000,13.800000,14.150000,13.398410,11888500
